model,workload,path,path_label,samples,server_ttft_ms_mean,server_ttft_ms_p50,server_ttft_ms_p90
8B,LoCoMO,fallback,Fallback,200,3210.798122882843,2545.3678369522095,6202.607893943787
8B,LoCoMO,partial_hit,Partial,1499,1882.9311163446123,1705.5926322937012,2732.559108734131
8B,LoCoMO,full_hit,Full,287,845.1046852284608,669.9209213256836,1084.4062328338623
8B,EventQA,fallback,Fallback,200,3964.271367788315,3629.899740219116,6886.327004432678
8B,EventQA,partial_hit,Partial,469,1694.7535772059264,1464.8056030273438,2702.228784561157
8B,EventQA,full_hit,Full,331,913.7356763880058,796.3850498199463,926.2895584106445
8B,PERMA,fallback,Fallback,124,3280.480275231023,3401.2874364852905,5338.482284545898
8B,PERMA,partial_hit,Partial,595,1863.3439488771583,1688.6482238769531,3102.196741104126
8B,PERMA,full_hit,Full,375,781.9453652699789,667.7238941192627,980.9556484222414
32B,LoCoMO,fallback,Fallback,176,632.0490837097168,503.3529996871948,1036.6395711898804
32B,LoCoMO,partial_hit,Partial,709,434.2668446566389,422.652006149292,559.5500946044922
32B,LoCoMO,full_hit,Full,114,255.15530402200264,239.45844173431396,296.4824438095093
32B,EventQA,fallback,Fallback,254,3326.5755326729122,2819.331645965576,4752.91051864624
32B,EventQA,partial_hit,Partial,229,1753.2130776534434,1749.1843700408936,2642.917490005493
32B,EventQA,full_hit,Full,17,756.5406911513385,498.3351230621338,1437.8274440765388
32B,PERMA,fallback,Fallback,268,2722.0494578133766,2721.680164337158,4305.030179023744
32B,PERMA,partial_hit,Partial,194,1562.1015927226274,1452.9850482940674,2463.4907722473145
32B,PERMA,full_hit,Full,48,410.341536005338,384.42134857177734,565.2343511581421
